Génesis,1,31
Génesis,2,25
Génesis,3,24
Génesis,4,26
Génesis,5,32
Génesis,6,22
Génesis,7,24
Génesis,8,22
Génesis,9,29
Génesis,10,32
Génesis,11,32
Génesis,12,20
Génesis,13,18
Génesis,14,24
Génesis,15,21
Génesis,16,16
Génesis,17,27
Génesis,18,33
Génesis,19,38
Génesis,20,18
Génesis,21,34
Génesis,22,24
Génesis,23,20
Génesis,24,67
Génesis,25,34
Génesis,26,35
Génesis,27,46
Génesis,28,22
Génesis,29,35
Génesis,30,43
Génesis,31,55
Génesis,32,32
Génesis,33,20
Génesis,34,31
Génesis,35,29
Génesis,36,43
Génesis,37,36
Génesis,38,30
Génesis,39,23
Génesis,40,23
Génesis,41,57
Génesis,42,38
Génesis,43,34
Génesis,44,34
Génesis,45,28
Génesis,46,34
Génesis,47,31
Génesis,48,22
Génesis,49,33
Génesis,50,26
Éxodo,1,22
Éxodo,2,25
Éxodo,3,22
Éxodo,4,31
Éxodo,5,23
Éxodo,6,30
Éxodo,7,25
Éxodo,8,32
Éxodo,9,35
Éxodo,10,29
Éxodo,11,10
Éxodo,12,51
Éxodo,13,22
Éxodo,14,31
Éxodo,15,27
Éxodo,16,36
Éxodo,17,16
Éxodo,18,27
Éxodo,19,25
Éxodo,20,26
Éxodo,21,36
Éxodo,22,31
Éxodo,23,33
Éxodo,24,18
Éxodo,25,40
Éxodo,26,37
Éxodo,27,21
Éxodo,28,43
Éxodo,29,46
Éxodo,30,38
Éxodo,31,18
Éxodo,32,35
Éxodo,33,23
Éxodo,34,35
Éxodo,35,35
Éxodo,36,38
Éxodo,37,29
Éxodo,38,31
Éxodo,39,43
Éxodo,40,38
Levítico,1,17
Levítico,2,16
Levítico,3,17
Levítico,4,35
Levítico,5,19
Levítico,6,30
Levítico,7,38
Levítico,8,36
Levítico,9,24
Levítico,10,20
Levítico,11,47
Levítico,12,8
Levítico,13,59
Levítico,14,57
Levítico,15,33
Levítico,16,34
Levítico,17,16
Levítico,18,30
Levítico,19,37
Levítico,20,27
Levítico,21,24
Levítico,22,33
Levítico,23,44
Levítico,24,23
Levítico,25,55
Levítico,26,46
Levítico,27,34
Números,1,54
Números,2,34
Números,3,51
Números,4,49
Números,5,31
Números,6,27
Números,7,89
Números,8,26
Números,9,23
Números,10,36
Números,11,35
Números,12,16
Números,13,33
Números,14,45
Números,15,41
Números,16,50
Números,17,13
Números,18,32
Números,19,22
Números,20,29
Números,21,35
Números,22,41
Números,23,30
Números,24,25
Números,25,18
Números,26,65
Números,27,23
Números,28,31
Números,29,40
Números,30,16
Números,31,54
Números,32,42
Números,33,56
Números,34,29
Números,35,34
Números,36,13
Deuteronomio,1,46
Deuteronomio,2,37
Deuteronomio,3,29
Deuteronomio,4,49
Deuteronomio,5,33
Deuteronomio,6,25
Deuteronomio,7,26
Deuteronomio,8,20
Deuteronomio,9,29
Deuteronomio,10,22
Deuteronomio,11,32
Deuteronomio,12,32
Deuteronomio,13,18
Deuteronomio,14,29
Deuteronomio,15,23
Deuteronomio,16,22
Deuteronomio,17,20
Deuteronomio,18,22
Deuteronomio,19,21
Deuteronomio,20,20
Deuteronomio,21,23
Deuteronomio,22,30
Deuteronomio,23,25
Deuteronomio,24,22
Deuteronomio,25,19
Deuteronomio,26,19
Deuteronomio,27,26
Deuteronomio,28,68
Deuteronomio,29,29
Deuteronomio,30,20
Deuteronomio,31,30
Deuteronomio,32,52
Deuteronomio,33,29
Deuteronomio,34,12
Josué,1,18
Josué,2,24
Josué,3,17
Josué,4,24
Josué,5,15
Josué,6,27
Josué,7,26
Josué,8,35
Josué,9,27
Josué,10,43
Josué,11,23
Josué,12,24
Josué,13,33
Josué,14,15
Josué,15,63
Josué,16,10
Josué,17,18
Josué,18,28
Josué,19,51
Josué,20,9
Josué,21,45
Josué,22,34
Josué,23,16
Josué,24,33
Jueces,1,36
Jueces,2,23
Jueces,3,31
Jueces,4,24
Jueces,5,31
Jueces,6,40
Jueces,7,25
Jueces,8,35
Jueces,9,57
Jueces,10,18
Jueces,11,40
Jueces,12,15
Jueces,13,25
Jueces,14,20
Jueces,15,20
Jueces,16,31
Jueces,17,13
Jueces,18,31
Jueces,19,30
Jueces,20,48
Jueces,21,25
Rut,1,22
Rut,2,23
Rut,3,18
Rut,4,22
1 Samuel,1,28
1 Samuel,2,36
1 Samuel,3,21
1 Samuel,4,22
1 Samuel,5,12
1 Samuel,6,21
1 Samuel,7,17
1 Samuel,8,22
1 Samuel,9,27
1 Samuel,10,27
1 Samuel,11,15
1 Samuel,12,25
1 Samuel,13,23
1 Samuel,14,52
1 Samuel,15,35
1 Samuel,16,23
1 Samuel,17,58
1 Samuel,18,30
1 Samuel,19,24
1 Samuel,20,42
1 Samuel,21,15
1 Samuel,22,23
1 Samuel,23,29
1 Samuel,24,22
1 Samuel,25,44
1 Samuel,26,25
1 Samuel,27,12
1 Samuel,28,25
1 Samuel,29,11
1 Samuel,30,31
1 Samuel,31,13
2 Samuel,1,27
2 Samuel,2,32
2 Samuel,3,39
2 Samuel,4,12
2 Samuel,5,25
2 Samuel,6,23
2 Samuel,7,29
2 Samuel,8,18
2 Samuel,9,13
2 Samuel,10,19
2 Samuel,11,27
2 Samuel,12,31
2 Samuel,13,39
2 Samuel,14,33
2 Samuel,15,37
2 Samuel,16,23
2 Samuel,17,29
2 Samuel,18,33
2 Samuel,19,43
2 Samuel,20,26
2 Samuel,21,22
2 Samuel,22,51
2 Samuel,23,39
2 Samuel,24,25
1 Reyes,1,53
1 Reyes,2,46
1 Reyes,3,28
1 Reyes,4,34
1 Reyes,5,18
1 Reyes,6,38
1 Reyes,7,51
1 Reyes,8,66
1 Reyes,9,28
1 Reyes,10,29
1 Reyes,11,43
1 Reyes,12,33
1 Reyes,13,34
1 Reyes,14,31
1 Reyes,15,34
1 Reyes,16,34
1 Reyes,17,24
1 Reyes,18,46
1 Reyes,19,21
1 Reyes,20,43
1 Reyes,21,29
1 Reyes,22,53
2 Reyes,1,18
2 Reyes,2,25
2 Reyes,3,27
2 Reyes,4,44
2 Reyes,5,27
2 Reyes,6,33
2 Reyes,7,20
2 Reyes,8,29
2 Reyes,9,37
2 Reyes,10,36
2 Reyes,11,21
2 Reyes,12,21
2 Reyes,13,25
2 Reyes,14,29
2 Reyes,15,38
2 Reyes,16,20
2 Reyes,17,41
2 Reyes,18,37
2 Reyes,19,37
2 Reyes,20,21
2 Reyes,21,26
2 Reyes,22,20
2 Reyes,23,37
2 Reyes,24,20
2 Reyes,25,30
1 Crónicas,1,54
1 Crónicas,2,55
1 Crónicas,3,24
1 Crónicas,4,43
1 Crónicas,5,26
1 Crónicas,6,81
1 Crónicas,7,40
1 Crónicas,8,40
1 Crónicas,9,44
1 Crónicas,10,14
1 Crónicas,11,47
1 Crónicas,12,40
1 Crónicas,13,14
1 Crónicas,14,17
1 Crónicas,15,29
1 Crónicas,16,43
1 Crónicas,17,27
1 Crónicas,18,17
1 Crónicas,19,19
1 Crónicas,20,8
1 Crónicas,21,30
1 Crónicas,22,19
1 Crónicas,23,32
1 Crónicas,24,31
1 Crónicas,25,31
1 Crónicas,26,32
1 Crónicas,27,34
1 Crónicas,28,21
1 Crónicas,29,30
2 Crónicas,1,17
2 Crónicas,2,18
2 Crónicas,3,17
2 Crónicas,4,22
2 Crónicas,5,14
2 Crónicas,6,42
2 Crónicas,7,22
2 Crónicas,8,18
2 Crónicas,9,31
2 Crónicas,10,19
2 Crónicas,11,23
2 Crónicas,12,16
2 Crónicas,13,22
2 Crónicas,14,15
2 Crónicas,15,19
2 Crónicas,16,14
2 Crónicas,17,19
2 Crónicas,18,34
2 Crónicas,19,11
2 Crónicas,20,37
2 Crónicas,21,20
2 Crónicas,22,12
2 Crónicas,23,21
2 Crónicas,24,27
2 Crónicas,25,28
2 Crónicas,26,23
2 Crónicas,27,9
2 Crónicas,28,27
2 Crónicas,29,36
2 Crónicas,30,27
2 Crónicas,31,21
2 Crónicas,32,33
2 Crónicas,33,25
2 Crónicas,34,33
2 Crónicas,35,27
2 Crónicas,36,23
Esdras,1,11
Esdras,2,70
Esdras,3,13
Esdras,4,24
Esdras,5,17
Esdras,6,22
Esdras,7,28
Esdras,8,36
Esdras,9,15
Esdras,10,44
Nehemías,1,11
Nehemías,2,20
Nehemías,3,32
Nehemías,4,23
Nehemías,5,19
Nehemías,6,19
Nehemías,7,73
Nehemías,8,18
Nehemías,9,38
Nehemías,10,39
Nehemías,11,36
Nehemías,12,47
Nehemías,13,31
Ester,1,22
Ester,2,23
Ester,3,15
Ester,4,17
Ester,5,14
Ester,6,14
Ester,7,10
Ester,8,17
Ester,9,32
Ester,10,3
Job,1,22
Job,2,13
Job,3,26
Job,4,21
Job,5,27
Job,6,30
Job,7,21
Job,8,22
Job,9,35
Job,10,22
Job,11,20
Job,12,25
Job,13,28
Job,14,22
Job,15,35
Job,16,22
Job,17,16
Job,18,21
Job,19,29
Job,20,29
Job,21,34
Job,22,30
Job,23,17
Job,24,25
Job,25,6
Job,26,14
Job,27,23
Job,28,28
Job,29,25
Job,30,31
Job,31,40
Job,32,22
Job,33,33
Job,34,37
Job,35,16
Job,36,33
Job,37,24
Job,38,41
Job,39,30
Job,40,24
Job,41,34
Job,42,17
Salmos,1,6
Salmos,2,12
Salmos,3,8
Salmos,4,8
Salmos,5,12
Salmos,6,10
Salmos,7,17
Salmos,8,9
Salmos,9,20
Salmos,10,18
Salmos,11,7
Salmos,12,8
Salmos,13,6
Salmos,14,7
Salmos,15,5
Salmos,16,11
Salmos,17,15
Salmos,18,50
Salmos,19,14
Salmos,20,9
Salmos,21,13
Salmos,22,31
Salmos,23,6
Salmos,24,10
Salmos,25,22
Salmos,26,12
Salmos,27,14
Salmos,28,9
Salmos,29,11
Salmos,30,12
Salmos,31,24
Salmos,32,11
Salmos,33,22
Salmos,34,22
Salmos,35,28
Salmos,36,12
Salmos,37,40
Salmos,38,22
Salmos,39,13
Salmos,40,17
Salmos,41,13
Salmos,42,11
Salmos,43,5
Salmos,44,26
Salmos,45,17
Salmos,46,11
Salmos,47,9
Salmos,48,14
Salmos,49,20
Salmos,50,23
Salmos,51,19
Salmos,52,9
Salmos,53,6
Salmos,54,7
Salmos,55,23
Salmos,56,13
Salmos,57,11
Salmos,58,11
Salmos,59,17
Salmos,60,12
Salmos,61,8
Salmos,62,12
Salmos,63,11
Salmos,64,10
Salmos,65,13
Salmos,66,20
Salmos,67,7
Salmos,68,35
Salmos,69,36
Salmos,70,5
Salmos,71,24
Salmos,72,20
Salmos,73,28
Salmos,74,23
Salmos,75,10
Salmos,76,12
Salmos,77,20
Salmos,78,72
Salmos,79,13
Salmos,80,19
Salmos,81,16
Salmos,82,8
Salmos,83,18
Salmos,84,12
Salmos,85,13
Salmos,86,17
Salmos,87,7
Salmos,88,18
Salmos,89,52
Salmos,90,17
Salmos,91,16
Salmos,92,15
Salmos,93,5
Salmos,94,23
Salmos,95,11
Salmos,96,13
Salmos,97,12
Salmos,98,9
Salmos,99,9
Salmos,100,5
Salmos,101,8
Salmos,102,28
Salmos,103,22
Salmos,104,35
Salmos,105,45
Salmos,106,48
Salmos,107,43
Salmos,108,13
Salmos,109,31
Salmos,110,7
Salmos,111,10
Salmos,112,10
Salmos,113,9
Salmos,114,8
Salmos,115,18
Salmos,116,19
Salmos,117,2
Salmos,118,29
Salmos,119,176
Salmos,120,7
Salmos,121,8
Salmos,122,9
Salmos,123,4
Salmos,124,8
Salmos,125,5
Salmos,126,6
Salmos,127,5
Salmos,128,6
Salmos,129,8
Salmos,130,8
Salmos,131,3
Salmos,132,18
Salmos,133,3
Salmos,134,3
Salmos,135,21
Salmos,136,26
Salmos,137,9
Salmos,138,8
Salmos,139,24
Salmos,140,13
Salmos,141,10
Salmos,142,7
Salmos,143,12
Salmos,144,15
